loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.17659315,-34.2660275718221,1
0.17620535,-42.54105804522129,2
0.1757315,-45.585583989716326,3
0.17550154,-47.983354030222785,4
0.17535129,-49.7641931503806,5
0.17515227,-51.34718717726986,6
0.17499343,-52.759709471681006,7
0.17488596,-53.43521384855287,8
0.17473519,-54.724025604413086,9
0.17464772,-55.58612342429372,10
0.17457831,-56.282461924069985,11
0.17448527,-56.87823663184542,12
0.1744108,-57.46488957700476,13
0.17435642,-57.662434562000435,14
0.17426914,-58.38892365252139,15
0.17423618,-58.81203881922959,16
0.17418557,-58.03246499608283,17
0.174096,-58.971130057890974,18
0.17403765,-59.668576511544344,19
0.17397243,-60.14754340360298,20
0.17391506,-60.44776744148607,21
0.17384787,-60.724865464217075,22
0.17378962,-61.0203790298957,23
0.17376733,-61.24305352630165,24
0.17372136,-61.31606630120891,25
0.1736428,-61.676445723752124,26
0.17358293,-61.83464958018375,27
0.17351833,-62.057594710043396,28
