ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
1,82,84,0,7.9415618875420035,8.723162201108275,19.130231857299805,0.0,0.0
2,77,163,0,7.061106992242497,8.34361447861521,18.29389762878418,0.0,0.0
3,78,243,0,7.272272978546043,8.508423953340985,18.616178512573242,0.0,0.0
4,79,324,0,7.522568854568769,8.650624614972267,18.918174743652344,0.0,0.0
5,76,402,0,6.8368839481555295,8.22186329762917,18.35972023010254,0.0,0.0
6,75,479,0,6.571796530956978,8.038550861141024,17.7591495513916,0.0,0.0
7,73,554,0,6.162269845674355,7.779664354121364,17.72865867614746,0.0,0.0
8,75,631,0,6.594797658104975,8.074449416125814,18.295246124267578,0.0,0.0
9,73,706,0,6.111232285628069,7.794725053790599,17.903072357177734,0.0,0.0
10,74,782,0,6.194909931506921,7.872827354236506,17.88572883605957,0.0,0.0
