steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,2446.971,0,0.0034749219194054604,4.1616385344024846e-05,0.023792675276808947,21.334062576293945,832.0906982421875,1388.322021484375,0.0,0.0,0.0,1,244379,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.4143230617046356,-0.02896084450185299,0.0,0.0,0,5106.2989819189825,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,3324,0.0
5,2447.01,0,0.0033013285137712955,3.95369104882302e-05,0.02393935553389271,21.33392906188965,832.0906372070312,1468.0364990234375,8.549999237060547,0.0,0.13215002417564392,1,244383,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.4144394099712372,-0.028891529887914658,0.0,0.0,0,5106.2989819189825,0.0,0.019103683531284332,-0.7357504665851593,-1.0,0.1432776153087616,0.5505198836326599,-0.8140900135040283,3324,0.0
6,2447.052,0,0.00317948660813272,3.80772187697905e-05,0.024098396139223766,21.333782196044922,832.090576171875,1685.163818359375,17.81999969482422,0.0,0.28040000796318054,1,244387,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.414567232131958,-0.028817642480134964,0.0,0.0,0,5106.2989819189825,0.0,0.03966214507818222,-0.4391501247882843,-1.0,0.15418845415115356,0.6179174184799194,-0.8284081220626831,3324,0.0
7,2447.091,0,0.0030863559804856777,3.6961393781307564e-05,0.024260968272619803,21.33363151550293,832.0905151367188,2097.051513671875,27.720001220703125,0.0,0.4477500021457672,1,244391,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.4147031307220459,-0.02873123623430729,0.0,0.0,0,5106.2989819189825,0.0,0.06163509003818035,-0.10452663898468018,-1.0,0.1647970825433731,0.6971322894096375,-0.8439773321151733,3324,0.0
8,2447.13,0,0.002977777970954776,3.5660560448384235e-05,0.0244394322823678,21.333463668823242,832.0904541015625,2666.26025390625,39.10499954223633,0.0,0.6467999815940857,1,244395,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.414859414100647,-0.028624841943383217,0.0,0.0,0,5106.2989819189825,0.0,0.08687581680715084,0.29365572333335876,-1.0,0.18930543959140778,0.8295466303825378,-0.8970519304275513,3324,0.0
9,2447.172,0,0.002875301521271467,3.4432844534806405e-05,0.02461436476405082,21.33329963684082,832.0903930664062,3484.613037109375,49.86000061035156,0.0,0.8560999631881714,1,244399,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.4150084853172302,-0.02853579819202423,0.0,0.0,0,5106.2989819189825,0.0,0.11084624193608761,0.7122667133808136,-1.0,0.17977817356586456,0.8721062541007996,-0.9144527316093445,3324,0.0
10,2447.211,0,0.0027885313611477613,3.339328506820131e-05,0.02477693689748984,21.333148956298828,832.09033203125,4511.62841796875,59.66999435424805,0.0,1.0,1,244403,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.4151436984539032,-0.028457840904593468,0.0,0.0,0,5106.2989819189825,0.0,0.1326354816555977,1.0,-1.0,0.16341929137706757,0.9013617038726807,-0.9294975996017456,3324,0.0
11,2447.25,0,0.0027326515410095453,3.2723691630418354e-05,0.02493068021070028,21.3330078125,832.0902709960938,5642.5673828125,68.44499969482422,0.0,1.0,1,244407,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.4152640998363495,-0.028396060690283775,0.0,0.0,0,5106.2989819189825,0.0,0.15210659243166447,1.0,-1.0,0.14603331685066223,0.903063178062439,-0.9390565752983093,3324,0.0
12,2447.292,0,0.0026299110613763332,3.149297222122692e-05,0.02508089199585232,21.332870483398438,832.0902099609375,6908.07421875,76.81500244140625,0.0,1.0,1,244411,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.4153844118118286,-0.028347432613372803,0.0,0.0,0,5106.2989819189825,0.0,0.17068982683122158,1.0,-1.0,0.1393742561340332,0.8734350800514221,-0.942229151725769,3324,0.0
13,2447.331,0,0.0025648276787251234,3.071321418247867e-05,0.025232869545053403,21.332731246948242,832.0901489257812,8057.86376953125,85.54499816894531,0.0,1.0,1,244415,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.41550883650779724,-0.028287826105952263,0.0,0.0,0,5106.2989819189825,0.0,0.19017944857478142,1.0,-1.0,0.1461721509695053,0.858275294303894,-0.9450626373291016,3324,0.0
14,2447.37,0,0.002553736325353384,3.057998715162376e-05,0.02539367591439381,21.332582473754883,832.090087890625,8403.447265625,95.08499908447266,0.0,0.0,1,244419,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.4156396687030792,-0.028216635808348656,0.0,0.0,0,5106.2989819189825,0.0,0.21130800247192383,1.0,-1.0,0.15846414864063263,0.8505922555923462,-0.9485988616943359,3324,0.0
15,2447.412,0,0.0024969291407614946,2.9899182929859272e-05,0.025618171631075857,21.33238983154297,832.0899658203125,8116.5859375,110.69999694824219,0.0,0.0,1,244423,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.41582974791526794,-0.02809431031346321,0.0,0.0,0,5106.2989819189825,0.0,0.2460205741226673,1.0,-1.0,0.2603442668914795,0.6968367695808411,-0.9333361983299255,3324,0.0
16,2447.451,0,0.00252535124309361,3.0239029218670424e-05,0.02581252751717911,21.332204818725586,832.0899047851562,7861.9169921875,125.90999603271484,0.0,0.0,1,244427,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.4160066545009613,-0.02797473967075348,0.0,0.0,0,5106.2989819189825,0.0,0.2798396833240986,1.0,-1.0,0.25364330410957336,0.7860840559005737,-0.9415400624275208,3324,0.0
17,2447.49,0,0.2457127571105957,0.0029420335996848883,0.02653295546769583,21.329980850219727,832.0934448242188,5008.181640625,139.27499389648438,0.0,0.0,2,244431,-0.0922105684876442,0.01904609613120556,0.22695641219615936,-0.41650328040122986,-0.02799673192203045,0.0010773498797789216,-0.06511636078357697,0,5106.30344407697,0.0,0.30955635011196136,1.0,-1.0,0.2228749841451645,0.8674334287643433,-0.9366453886032104,3324,0.0
18,2447.532,0,0.5721422433853149,0.006849235773848356,0.028788552087965383,21.321910858154297,832.1072387695312,4144.64892578125,147.1949920654297,0.0,0.0,2,244435,-0.2505144774913788,0.008726617321372032,0.5143083333969116,-0.4178076386451721,-0.02805492654442787,-0.012477381154894829,-0.0909581407904625,0,5106.3199197372305,0.0,0.32709295488893986,1.0,-1.0,0.13152453303337097,0.6778204441070557,-0.9156709313392639,3324,0.0
19,2447.571,0,0.8981428742408752,0.010748673286081431,0.032334727182040335,21.307710647583008,832.1326293945312,3942.1875,150.02999877929688,0.0,1.0,2,244439,-0.4318808317184448,-0.019030271098017693,0.7872593998908997,-0.41976478695869446,-0.027886077761650085,-0.05330148711800575,-0.06366144865751266,0,5106.348752142687,0.0,0.33341340674087405,1.0,-1.0,0.04740338772535324,0.5850485563278198,-0.9272592067718506,3324,0.0
20,2447.61,0,1.230331540107727,0.01471966423835806,0.03601813128417683,21.2882022857666,832.170654296875,3922.4111328125,142.74000549316406,0.0,1.0,2,244443,-0.5676981210708618,-0.03862135857343674,1.090844988822937,-0.4215443432331085,-0.029063165187835693,-0.052748724818229675,-0.023682786151766777,0,5106.390627779183,0.0,0.31723154289647937,1.0,-1.0,-0.12136397510766983,0.8769373297691345,-0.9523420929908752,3324,0.0
21,2447.652,0,1.576216220855713,0.018847993647824586,0.04225372227663842,21.261375427246094,832.2198486328125,3920.824951171875,127.16999053955078,0.0,1.0,2,244447,-0.7564550638198853,-0.0411403588950634,1.382223129272461,-0.4248228073120117,-0.0278790146112442,-0.08320122212171555,0.007226781453937292,0,5106.449322318862,0.0,0.28264883859083056,1.0,-1.0,-0.25937026739120483,0.9011964201927185,-0.9586770534515381,3324,0.0
22,2447.691,0,1.8907358646392822,0.022595572257965872,0.049323715411358514,21.22878646850586,832.2809448242188,3945.2763671875,115.19999694824219,0.0,1.0,2,244451,-0.8755910396575928,-0.030094388872385025,1.6755049228668213,-0.4278724789619446,-0.028331104665994644,-0.06977088004350662,0.012783167883753777,0,5106.518657389126,0.0,0.2560126851312816,1.0,-1.0,-0.19977113604545593,0.7966171503067017,-0.9504944086074829,3324,0.0
23,2447.73,0,2.1946349143981934,0.02621072596247676,0.056908331076930004,21.19074249267578,832.3533935546875,3993.34033203125,98.3699951171875,0.0,1.0,2,244455,-1.023923397064209,-0.021441129967570305,1.9410160779953003,-0.43069955706596375,-0.029175657778978348,-0.07483571767807007,0.00881966296583414,0,5106.596916775365,0.0,0.21866653067991138,1.0,-1.0,-0.2800961434841156,0.7818993926048279,-0.9660302400588989,3325,0.0
24,2447.772,0,2.5148074626922607,0.030014094364181718,0.0650527686721105,21.14673614501953,832.4366455078125,4064.07080078125,85.05000305175781,0.0,1.0,2,244459,-1.171207308769226,-0.019783128052949905,2.2253401279449463,-0.43387335538864136,-0.028774745762348175,-0.07204482704401016,0.0025151839945465326,0,5106.695770736929,0.0,0.18903802474960685,1.0,-1.0,-0.22221378982067108,0.7810831665992737,-0.9587685465812683,3325,0.0
25,2447.811,0,2.8137242794036865,0.033556984445877194,0.0738192112451983,21.097414016723633,832.5308837890625,4139.1689453125,75.19499969482422,0.0,1.0,2,244463,-1.298660397529602,-0.023839199915528297,2.495988130569458,-0.43657633662223816,-0.028961176052689552,-0.06531263887882233,-0.001118144253268838,0,5106.80045982817,0.0,0.1670863046310842,1.0,-1.0,-0.16463789343833923,0.7605525255203247,-0.9584483504295349,3325,0.0
26,2447.85,0,3.113600730895996,0.03710383792530268,0.08330253872166701,21.042673110961914,832.6361083984375,4219.888671875,67.13999938964844,0.0,1.0,2,244467,-1.4368832111358643,-0.0303197018802166,2.762056589126587,-0.4390852153301239,-0.02922433614730835,-0.06366068124771118,-0.0013270382769405842,0,5106.915789449995,0.0,0.1492426465265453,1.0,-1.0,-0.13382743299007416,0.7569339275360107,-0.9574189782142639,3325,0.0
27,2447.892,0,3.4375159740448,0.040927681277305665,0.09382077455554289,20.982168197631836,832.7523193359375,4314.326171875,60.6150016784668,0.0,1.0,2,244471,-1.58803129196167,-0.03688343986868858,3.0484936237335205,-0.4417922794818878,-0.028956785798072815,-0.06412109732627869,-0.0002176132402382791,0,5107.054802833445,0.0,0.13470486598089337,1.0,-1.0,-0.10903334617614746,0.7459825277328491,-0.9560218453407288,3325,0.0
28,2447.931,0,3.7404520511627197,0.044491363742362615,0.10535113569161503,20.91597557067871,832.87939453125,4411.39013671875,55.394996643066406,0.0,1.0,2,244475,-1.7252682447433472,-0.0414985716342926,3.318540096282959,-0.4442906081676483,-0.02894517220556736,-0.06279558688402176,6.462596957135247e-06,0,5107.192443245207,0.0,0.1231121658347547,1.0,-1.0,-0.08694524317979813,0.7290810346603394,-0.9556291103363037,3325,0.0
29,2447.97,0,4.043340682983398,0.04804395529035707,0.11775730584551869,20.844114303588867,833.0176391601562,4519.49462890625,51.38999938964844,0.0,1.0,2,244479,-1.8655353784561157,-0.04546402022242546,3.5869646072387695,-0.4467222988605499,-0.029148943722248077,-0.061836570501327515,-6.535303691634908e-05,0,5107.345186345541,0.0,0.11425743205472827,1.0,-1.0,-0.06641049683094025,0.7196092009544373,-0.9552739262580872,3325,0.0
30,2448.012,0,4.37047004699707,0.05187192711297879,0.1312704228187658,20.76641082763672,833.1668701171875,4640.2978515625,48.23999786376953,0.0,1.0,2,244483,-2.0205893516540527,-0.05152687057852745,3.874993324279785,-0.4493456184864044,-0.02919909544289112,-0.06282258033752441,0.001332312822341919,0,5107.521956450422,0.0,0.10719783930107951,1.0,-1.0,-0.052946943789720535,0.709584653377533,-0.9537410140037537,3325,0.0
31,2448.051,0,4.674157619476318,0.055407561428196306,0.14597924611621438,20.68279457092285,833.3270263671875,4752.21728515625,45.58500289916992,0.0,1.0,2,244487,-2.1643435955047607,-0.05666877701878548,4.142481327056885,-0.45181894302368164,-0.029293403029441833,-0.06331510841846466,0.0015734236221760511,0,5107.697010340693,0.0,0.10136055527254939,1.0,-1.0,-0.04377962648868561,0.6971144676208496,-0.9527941942214966,3325,0.0
32,2448.09,0,4.977755069732666,0.0589272430514054,0.16188377573785787,20.593265533447266,833.4981079101562,4863.876953125,43.69499588012695,0.0,1.0,2,244491,-2.3096799850463867,-0.05839957296848297,4.409082889556885,-0.45430347323417664,-0.02942798286676407,-0.06403933465480804,-0.0013891152339056134,0,5107.884077733237,0.0,0.09716494474560022,1.0,-1.0,-0.031467076390981674,0.6930739879608154,-0.9527801871299744,3325,0.0
33,2448.132,0,5.306251525878906,0.06272497676735818,0.17904193545203806,20.497709274291992,833.6802368164062,4979.8427734375,42.25499725341797,0.0,1.0,2,244495,-2.469566583633423,-0.05957719311118126,4.696168422698975,-0.4570530951023102,-0.029438436031341553,-0.06679689884185791,-0.0037448792718350887,0,5108.102380231692,0.0,0.09388608415611088,1.0,-1.0,-0.02459145337343216,0.6830849647521973,-0.9517243504524231,3325,0.0
34,2448.171,0,5.612670421600342,0.06625688243473593,0.19512327327352755,20.396007537841797,833.8732299804688,5085.501953125,41.12999725341797,0.0,1.0,2,244499,-2.620408535003662,-0.061518214643001556,4.963037967681885,-0.459755003452301,-0.029534416273236275,-0.07123267650604248,-0.0031216524075716734,0,5108.315877329238,0.0,0.09143230435438454,1.0,-1.0,-0.018403347581624985,0.6756173372268677,-0.9516533017158508,3326,0.0
35,2448.21,0,5.919038772583008,0.06977189460075581,0.21229302907436967,20.28807830810547,834.0771484375,5193.88330078125,40.18499755859375,0.0,1.0,2,244503,-2.7728140354156494,-0.0658387690782547,5.228975772857666,-0.4626421630382538,-0.029757436364889145,-0.07632432132959366,-0.0011902851983904839,0,5108.541044686135,0.0,0.08932969579473138,1.0,-1.0,-0.015769563615322113,0.6683057546615601,-0.9512566328048706,3326,0.0
36,2448.252,0,6.249157428741455,0.0735475016707071,0.23081311210955371,20.173870086669922,834.2920532226562,5313.3125,39.2400016784668,0.0,1.0,2,244507,-2.9385907649993896,-0.07161123305559158,5.514664649963379,-0.4659670889377594,-0.030010703951120377,-0.08146019279956818,0.0017144582234323025,0,5108.796074177255,0.0,0.08719466859474778,1.0,-1.0,-0.016012703999876976,0.661842405796051,-0.9509372115135193,3326,0.0
37,2448.291,0,6.554810523986816,0.0770137645205249,0.2508023323177611,20.053333282470703,834.5177612304688,5428.4345703125,38.29499816894531,0.0,1.0,2,244511,-3.0932796001434326,-0.07552698999643326,5.778534412384033,-0.46924057602882385,-0.03013993427157402,-0.08609838783740997,0.0016534145688638091,0,5109.043895567011,0.0,0.08510917029343545,1.0,-1.0,-0.015641236677765846,0.6573827266693115,-0.9507922530174255,3326,0.0
38,2448.33,0,6.860930919647217,0.08046264579023343,0.27234281578063635,19.92640495300293,834.7542114257812,5544.91064453125,37.39500045776367,0.0,1.0,2,244515,-3.2504453659057617,-0.07693330198526382,6.0416107177734375,-0.47270867228507996,-0.030170051380991936,-0.09144416451454163,0.00024484374444000423,0,5109.309222345793,0.0,0.08310289774090052,1.0,-1.0,-0.015047043561935425,0.6527838706970215,-0.9506654739379883,3326,0.0
39,2448.372,0,7.19033145904541,0.08415937828518896,0.29548001165971716,19.79298210144043,835.0015258789062,5677.3369140625,36.53999710083008,0.0,1.0,2,244519,-3.4220685958862305,-0.07957253605127335,6.323288917541504,-0.4766981303691864,-0.030166542157530785,-0.09813646227121353,-0.0004047495895065367,0,5109.60303828711,0.0,0.08118650340475142,1.0,-1.0,-0.014372956939041615,0.6489198207855225,-0.9506667852401733,3326,0.0
40,2448.411,0,7.495377540588379,0.08756653256005836,0.3172619276514151,19.65297508239746,835.259521484375,5810.56005859375,35.685001373291016,0.0,1.0,2,244523,-3.5833592414855957,-0.08316385000944138,6.582803726196289,-0.480674684047699,-0.03015514463186264,-0.10527979582548141,-0.0013749068602919579,0,5109.8903326129075,0.0,0.0792863181559369,1.0,-1.0,-0.014251388609409332,0.6459453105926514,-0.9506701827049255,3327,0.0
41,2448.45,0,7.796974182128906,0.09091181990632738,0.34011530848694305,19.506336212158203,835.5280151367188,5960.029296875,34.83000183105469,0.0,1.0,2,244527,-3.7459452152252197,-0.0896441787481308,6.837592124938965,-0.48498013615608215,-0.03022860549390316,-0.11490185558795929,-0.005805923603475094,0,5110.1875809834455,0.0,0.07741903210990131,1.0,-1.0,-0.014004644937813282,0.6429758667945862,-0.9506463408470154,3327,0.0
42,2448.492,0,8.126943588256836,0.09455848296615689,0.36481612807171976,19.352916717529297,835.8070068359375,6114.33642578125,33.8849983215332,0.0,1.0,2,244531,-3.9270567893981934,-0.09308995306491852,7.114546298980713,-0.49004754424095154,-0.03052833303809166,-0.12478168308734894,-0.007250993978232145,0,5110.524988775869,0.0,0.0753269549459219,1.0,-1.0,-0.015690578147768974,0.6390150785446167,-0.9506035447120667,3327,0.0
43,2448.531,0,8.4357328414917,0.09792596334341598,0.39152861008580275,19.192508697509766,836.0965576171875,6252.27978515625,32.93999481201172,0.0,1.0,2,244535,-4.098957538604736,-0.09420447051525116,7.372330188751221,-0.4951045513153076,-0.030592715367674828,-0.1335839480161667,-0.005555454641580582,0,5110.8476371226425,0.0,0.07318904553540051,1.0,-1.0,-0.0160343199968338,0.6358563899993896,-0.9508870244026184,3327,0.0
44,2448.57,0,8.7426176071167,0.10123886599693684,0.42007387872872626,19.02500343322754,836.3966674804688,6393.65625,31.949996948242188,0.0,1.0,2,244539,-4.273174285888672,-0.0948905348777771,7.6265549659729,-0.5005416870117188,-0.030459677800536156,-0.14451709389686584,-0.006751133129000664,0,5111.183671943378,0.0,0.07108172751031816,1.0,-1.0,-0.01580488495528698,0.6327086687088013,-0.951174795627594,3328,0.0
