ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
1,1,3,0,5.75010338798073e-05,0.004792234394699335,0.004792234394699335,0.0,0.0
2,1,6,0,4.04047658334051e-05,0.0033705555833876133,0.0033705555833876133,0.0,0.0
3,868,876,0,364.2374480846149,41.263799074399905,63.05963134765625,0.0,0.0
4,377,1255,0,130.06993805407,31.144858070736905,48.47364807128906,0.0,0.0
5,106,1363,0,8.644023563208334,9.00349547978126,16.148117065429688,0.0,0.0
6,771,2136,0,326.1294153959649,38.8168729037166,57.880672454833984,0.0,0.0
7,155,2293,0,28.768521910006903,17.056379342899703,30.53495979309082,0.0,0.0
8,561,2856,0,210.15849726291992,33.39068791496529,47.32481384277344,0.0,0.0
9,565,3423,0,295.7007959539213,46.78489775794014,69.3410415649414,0.0,0.0
10,650,4075,0,339.03213375431176,46.95378860241626,70.2249526977539,0.0,0.0
