steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,121.245,0,0.00253340695053339,3.0368032394572218e-05,0.012967127851900346,205.967041015625,-326.0686950683594,1345.35009765625,0.0,0.0,0.0,1,15799,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6381992101669312,0.022613434121012688,0.0,0.0,0,3918.8820145081845,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,2550,0.0
5,121.284,0,0.0041203987784683704,4.939044909250174e-05,0.01318713358586685,205.96685791015625,-326.0688171386719,1495.0828857421875,56.70000076293945,0.0,0.24000000953674316,1,15803,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6384222507476807,0.02280523255467415,0.0,0.0,0,3918.8820145081845,0.0,0.12603777647018433,-0.5200527906417847,-1.0,0.9452832341194153,0.9998900294303894,-0.9999862313270569,2550,0.0
6,121.323,0,0.002536584623157978,3.0405026099125625e-05,0.013399662861552628,205.96670532226562,-326.0689697265625,1871.596923828125,101.60999298095703,0.0,0.4769499897956848,1,15807,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6386027336120605,0.02298923023045063,0.0,0.0,0,3918.8820145081845,0.0,0.22584987431764603,-0.04614540934562683,-1.0,0.7485907077789307,0.987307071685791,-0.9968384504318237,2550,0.0
7,121.365,0,0.0025302073918282986,3.032805973218972e-05,0.013607173017145565,205.96653747558594,-326.069091796875,2480.967529296875,130.63499450683594,0.0,0.7085999846458435,1,15811,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6388200521469116,0.02316359058022499,0.0,0.0,0,3918.8820145081845,0.0,0.290340393781662,0.4171786606311798,-1.0,0.4836788475513458,0.9652584791183472,-0.9943499565124512,2550,0.0
8,121.404,0,0.0020347055979073048,2.438912653138355e-05,0.013437149596594157,205.96665954589844,-326.0689697265625,3274.49365234375,92.92499542236328,0.0,0.9483499526977539,1,15815,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6386147737503052,0.02287176251411438,0.0,0.0,0,3918.8820145081845,0.0,0.2065206915140152,0.896744042634964,-1.0,-0.6286477446556091,0.999094545841217,-0.9930213093757629,2550,0.0
9,121.443,0,0.002498407382518053,2.9947729364426944e-05,0.013272145296126242,205.966796875,-326.0688781738281,4274.53076171875,41.714996337890625,0.0,1.0,1,15819,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6384255886077881,0.022571738809347153,0.0,0.0,0,3918.8820145081845,0.0,0.09270406514406204,1.0,-1.0,-0.8536246418952942,0.9992885589599609,-0.9787524938583374,2550,0.0
10,121.485,0,0.0017842295346781611,2.1387399518300567e-05,0.013089626297201267,205.96693420410156,-326.0687561035156,5483.9111328125,-9.179999351501465,0.0,1.0,1,15823,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6382284164428711,0.022266900166869164,0.0,0.0,0,3918.8820145081845,0.0,-0.020440690219402313,1.0,-1.0,-0.8485856056213379,0.9908567667007446,-0.9931855201721191,2550,0.0
11,121.524,0,0.0017786711687222123,2.132109652504346e-05,0.012907107298299567,205.96707153320312,-326.0686340332031,6655.0673828125,-27.584999084472656,0.0,1.0,1,15827,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6380462050437927,0.022006459534168243,0.0,0.0,0,3918.883730722795,0.0,-0.0612795390188694,1.0,-1.0,-0.3062913417816162,0.8628519773483276,-0.9944823384284973,2550,0.0
12,121.563,0,0.0019700787961483,2.361510872401403e-05,0.013114617453925127,205.96690368652344,-326.0687561035156,7815.34765625,-7.0199995040893555,0.0,1.0,1,15831,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6382274031639099,0.022192465141415596,0.0,0.0,0,3918.883730722795,0.0,-0.015623264014720917,1.0,-1.0,0.3424220383167267,0.4780227839946747,-0.9949764013290405,2550,0.0
13,121.605,0,0.003117375308647752,3.736702823199292e-05,0.01330461291107493,205.96673583984375,-326.06884765625,8460.861328125,39.284996032714844,0.0,0.0,1,15835,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6384429335594177,0.022401154041290283,0.0,0.0,0,3918.883730722795,0.0,0.08728399127721786,1.0,-1.0,0.7718043923377991,0.36262956261634827,-0.9980140924453735,2550,0.0
