steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,28.194,0,0.004322641529142857,5.17749755885021e-05,0.022375846009919438,-42.70187759399414,886.2171020507812,1342.044677734375,0.0,0.0,0.0,1,2691,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.390612006187439,-0.055383943021297455,0.0,0.0,0,5194.016083633149,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,3382,0.0
5,28.233,0,0.004409696441143751,5.2816879577317506e-05,0.022558858128953044,-42.7018928527832,886.2169189453125,1484.675048828125,26.23499870300293,0.0,0.23184999823570251,1,2695,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.3908182382583618,-0.05510355532169342,0.0,0.0,0,5194.016083633149,0.0,0.05831202119588852,-0.5363621413707733,-1.0,0.4373401403427124,0.9659122228622437,-0.9973458051681519,3382,0.0
6,28.275,0,0.004145745653659105,4.9654646866130054e-05,0.022746445550990337,-42.701934814453125,886.2167358398438,1888.3359375,38.34000015258789,0.0,0.4718500077724457,1,2699,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.3909809589385986,-0.054875485599040985,0.0,0.0,0,5194.016083633149,0.0,0.08524772897362709,-0.056362152099609375,-1.0,0.20201779901981354,1.0,-0.9887051582336426,3382,0.0
7,28.314,0,0.003757085418328643,4.4998869721822656e-05,0.0229314185141369,-42.701961517333984,886.216552734375,2461.121337890625,57.150001525878906,0.0,0.7117999792098999,1,2703,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.3911837339401245,-0.05462300404906273,0.0,0.0,0,5194.016083633149,0.0,0.12704794481396675,0.42363783717155457,-1.0,0.31350159645080566,1.0,-1.0,3382,0.0
8,28.353,0,0.003804523730650544,4.5566111618830386e-05,0.023175870415996624,-42.70198440551758,886.21630859375,3254.240234375,91.6199951171875,0.0,0.9517999887466431,1,2707,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.391396403312683,-0.05436180904507637,0.0,0.0,0,5194.016083633149,0.0,0.20358994975686073,0.9036378264427185,-1.0,0.5740650296211243,1.0,-1.0,3382,0.0
9,28.395,0,0.0035705335903912783,4.276300174372313e-05,0.023358228920363242,-42.701995849609375,886.2161254882812,4331.12060546875,129.9600067138672,0.0,1.0,1,2711,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.3916069269180298,-0.05410465598106384,0.0,0.0,0,5194.016083633149,0.0,0.2888288237154484,1.0,-1.0,0.639291524887085,0.9962263107299805,-0.9669288396835327,3382,0.0
10,28.434,0,0.003519236110150814,4.214777911606197e-05,0.02360006636333224,-42.702003479003906,886.2158813476562,5455.78271484375,147.375,0.0,1.0,1,2715,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.3918012380599976,-0.053883932530879974,0.0,0.0,0,5194.016083633149,0.0,0.32746370509266853,1.0,-1.0,0.28976160287857056,0.7012349367141724,-0.8665464520454407,3382,0.0
11,28.473,0,0.003354425076395273,4.017393187732629e-05,0.02360137359277821,-42.70201110839844,886.2158813476562,6626.068359375,146.42999267578125,0.0,1.0,1,2719,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.3917913436889648,-0.05389508605003357,0.0,0.0,0,5194.016083633149,0.0,0.3254978535696864,1.0,-1.0,-0.014743885956704617,0.0067451223731040955,-0.9225568175315857,3382,0.0
12,28.515,0,0.0031455743592232466,3.767302868190567e-05,0.02348176210068247,-42.7020149230957,886.2160034179688,7874.50732421875,133.96499633789062,0.0,1.0,1,2723,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.391647458076477,-0.054067276418209076,0.0,0.0,0,5194.016083633149,0.0,0.29775834549218416,1.0,-1.0,-0.2080463021993637,0.11833614856004715,-0.6055806875228882,3382,0.0
13,28.554,0,0.0029281836468726397,3.5069980743782836e-05,0.023298749981648867,-42.70199966430664,886.2161865234375,8435.92578125,106.55999755859375,0.0,0.0,1,2727,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-1.3914566040039062,-0.05429018661379814,0.0,0.0,0,5194.016083633149,0.0,0.23678329307585955,1.0,-1.0,-0.4573128819465637,0.28313392400741577,-0.008502784185111523,3382,0.0
