steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,20.49,0,0.004136987961828709,4.9587945824813514e-05,-0.01351459507420834,52.91948699951172,569.7426147460938,1342.044677734375,0.0,0.0,0.0,1,1911,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.10185039043426514,0.006553698796778917,0.0,0.0,0,4841.545075573202,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,3152,0.0
5,20.532,0,0.003952154889702797,4.7372506904610924e-05,-0.013499413183842004,52.919471740722656,569.7426147460938,1388.322021484375,0.0,0.0,0.0,1,1915,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.1018504872918129,0.006514956708997488,0.0,0.0,0,4841.545075573202,0.0,0.05613880977034569,-0.5746303796768188,-1.0,0.4210410416126251,0.8861867189407349,-0.9902953505516052,3152,0.0
6,20.571,0,0.0037940209731459618,4.547706342121213e-05,-0.013491822238653138,52.919464111328125,569.7426147460938,1439.00439453125,25.244998931884766,0.0,0.2127000093460083,1,1919,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.10177689045667648,0.006491123232990503,0.0,0.0,0,4841.545075573202,0.0,0.11337553337216377,-0.14931628108024597,-1.0,0.42927539348602295,0.8860710859298706,-0.9896504282951355,3152,0.0
7,20.61,0,0.004525584634393454,5.4246884772860305e-05,-0.013286866718646501,52.91925811767578,569.7426147460938,1586.5667724609375,25.244998931884766,0.0,0.2127000093460083,1,1923,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.10204364359378815,0.006668710149824619,0.0,0.0,0,4841.545075573202,0.0,0.17770636454224586,0.27781200408935547,-1.0,0.4824812114238739,0.8898506164550781,-0.9904561638832092,3152,0.0
8,20.652,0,0.003464733250439167,4.1530789856955954e-05,-0.013279275773457633,52.91925048828125,569.7426147460938,1753.0269775390625,25.244998931884766,0.0,0.2127000093460083,1,1927,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.1020507887005806,0.006633381359279156,0.0,0.0,0,4841.545075573202,0.0,0.25560005381703377,0.6975752711296082,-1.0,0.5842026472091675,0.8745068311691284,-0.9900907278060913,3152,0.0
9,20.691,0,0.003373771207407117,4.044049166579416e-05,-0.013267889355678662,52.91923904418945,569.7426147460938,1914.6474609375,25.244998931884766,0.0,0.2127000093460083,1,1931,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.10204872488975525,0.006596239283680916,0.0,0.0,0,4841.545075573202,0.0,0.3327936492860317,1.0,-1.0,0.5789519548416138,0.877909243106842,-0.9912583231925964,3152,0.0
10,20.73,0,0.0032464556861668825,3.891443158466117e-05,-0.01325650293789536,52.919227600097656,569.7426147460938,2082.939208984375,25.244998931884766,0.0,0.2127000093460083,1,1935,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.1020500585436821,0.0065640415996313095,0.0,0.0,0,4841.545075573202,0.0,0.4117157943546772,1.0,-1.0,0.5919160842895508,0.8949429988861084,-0.9916247129440308,3152,0.0
11,20.772,0,0.0030922438018023968,3.706596849216526e-05,-0.013245116520123458,52.91921615600586,569.7426147460938,2265.8193359375,25.244998931884766,0.0,0.2127000093460083,1,1939,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.10205157101154327,0.006534520536661148,0.0,0.0,0,4841.545075573202,0.0,0.49064213410019875,1.0,-1.0,0.5919474959373474,0.8938886523246765,-0.9908046126365662,3152,0.0
12,20.811,0,0.0029874248430132866,3.5809563342085974e-05,-0.013233730102340158,52.91920471191406,569.7426147460938,2433.01220703125,25.244998931884766,0.0,0.2127000093460083,1,1943,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.10205227881669998,0.006504878401756287,0.0,0.0,0,4841.545075573202,0.0,0.5704847909510136,1.0,-1.0,0.59881991147995,0.8904651403427124,-0.9897229075431824,3152,0.0
13,20.85,0,0.02701946534216404,0.0003238906011867171,-0.01269391954681344,52.91867446899414,569.7424926757812,3030.119873046875,220.76998901367188,0.0,1.0,1,1947,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.10266290605068207,0.007336433045566082,0.0,0.0,0,4841.545075573202,0.0,0.6502519808709621,1.0,-1.0,0.5982539057731628,0.887428343296051,-0.9885016679763794,3152,0.0
