steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,85.65,0,0.0038260549772530794,4.589897202552626e-05,0.003577497341797339,1028.9371337890625,-945.2095947265625,1361.877685546875,0.0,0.0,0.0,1,11239,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6895398497581482,-0.06804192811250687,0.0,0.0,0,2883.1694943493058,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1871,0.0
5,85.692,0,0.00368313561193645,4.4184938777178636e-05,0.0034450444935134605,1028.937255859375,-945.2095336914062,1512.0875244140625,-11.114998817443848,0.0,0.23524999618530273,1,11243,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6893967390060425,-0.0681745782494545,0.0,0.0,0,2883.1694943493058,0.0,-0.0247176643460989,-0.5294920206069946,-1.0,-0.18538247048854828,0.9802249670028687,-0.9990856051445007,1871,0.0
6,85.731,0,0.0035241961013525724,4.227867899366999e-05,0.0033125916450567274,1028.9373779296875,-945.20947265625,1880.4715576171875,-27.089998245239258,0.0,0.46670001745224,1,11247,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6892092227935791,-0.06835056096315384,0.0,0.0,0,2883.1694943493058,0.0,-0.06022134609520435,-0.06659269332885742,-1.0,-0.26627761125564575,0.9643736481666565,-0.998581051826477,1871,0.0
7,85.77,0,0.003400220302864909,4.079183046187645e-05,0.0031801387966989905,1028.9375,-945.2094116210938,2438.3984375,-34.154998779296875,0.0,0.6999499797821045,1,11251,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6891154050827026,-0.0684124156832695,0.0,0.0,0,2883.1694943493058,0.0,-0.07587243989109993,0.39990249276161194,-1.0,-0.1173831969499588,0.9718649983406067,-0.9986823797225952,1871,0.0
8,85.812,0,0.0032460526563227177,3.8942610213353846e-05,0.003087338247345054,1028.9376220703125,-945.2094116210938,3241.524658203125,-41.220001220703125,0.0,0.8863499760627747,1,11255,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6890218257904053,-0.06847332417964935,0.0,0.0,0,2883.1681213776174,0.0,-0.09157245606184006,0.7727360725402832,-1.0,-0.11775010824203491,0.7767366170883179,-0.9815587997436523,1871,0.0
9,85.851,0,0.003172634169459343,3.806139481426337e-05,0.0032197910957027904,1028.9375,-945.20947265625,4226.2109375,-34.334999084472656,0.0,1.0,1,11259,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6891158223152161,-0.06832367181777954,0.0,0.0,0,2883.1694943493058,0.0,-0.07634780183434486,1.0,-1.0,0.1141849011182785,0.8428106904029846,-0.9878074526786804,1871,0.0
10,85.89,0,0.0035462151281535625,4.254255314407361e-05,0.003391896242743757,1028.9373779296875,-945.2095947265625,5345.29345703125,-18.94499969482422,0.0,1.0,1,11263,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.689295768737793,-0.06807440519332886,0.0,0.0,0,2883.1694943493058,0.0,-0.04210180416703224,1.0,-1.0,0.25684496760368347,0.9165001511573792,-0.9944093227386475,1871,0.0
11,85.932,0,0.0029659115243703127,3.5580367779648704e-05,0.0035640013898585814,1028.937255859375,-945.209716796875,6602.21875,-7.739999294281006,0.0,1.0,1,11267,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6894426941871643,-0.0678856149315834,0.0,0.0,0,2883.1681213776174,0.0,-0.017253229394555092,1.0,-1.0,0.1863643079996109,0.851586639881134,-0.9956304430961609,1871,0.0
12,85.971,0,0.0027697691693902016,3.3227358571513124e-05,0.0035640013898585814,1028.937255859375,-945.209716796875,7764.390625,-7.739999294281006,0.0,1.0,1,11271,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.6894482374191284,-0.06786782294511795,0.0,0.0,0,2883.1681213776174,0.0,-0.017381767771439627,1.0,-1.0,-0.0009640377829782665,0.6433010101318359,-0.9964059591293335,1871,0.0
13,86.01,0,0.0026776986196637154,3.2123194783171706e-05,0.0034315485415008446,1028.9373779296875,-945.2096557617188,8436.4580078125,-16.964998245239258,0.0,0.0,1,11275,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.689335286617279,-0.06798858940601349,0.0,0.0,0,2883.1681213776174,0.0,-0.03769145070691593,1.0,-1.0,-0.15232262015342712,0.3490336537361145,-0.9955672025680542,1871,0.0
